"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_1_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"551",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9101.39,9102.11
"552",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9103.72,9105.26
"553",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9106.06,9107.52
"554",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9108.42,9109.07
"555",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9127.65,9129.05
"556",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9130.22,9130.83
"557",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9133.51,9134.12
"558",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9135.02,9136.88
"559",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9137.98,9141.18
"560",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9144.72,9147.38
"561",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9148.18,9148.78
"562",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9153.75,9156.79
"563",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9158.24,9162.36
"564",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9163.36,9167.25
"565",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9168.16,9170.09
"566",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9170.89,9173.97
"567",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9192.08,9192.69
"568",2,3,3,2,2,FALSE,"0054_000603_scrubbed.wav",9225.7,9226.33
"569",2,2,3,1,2,FALSE,"0054_000603_scrubbed.wav",9244.43,9245.03
"570",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",9251.97,9253.06
"571",2,1,3,2,2,FALSE,"0054_000603_scrubbed.wav",9254.76,9255.36
"572",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9257.82,9258.75
"573",2,2,3,1,2,FALSE,"0054_000603_scrubbed.wav",9271.11,9271.71
"574",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9297.41,9298.75
"575",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9302.75,9303.64
"576",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9305.88,9307.38
"577",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9344.65,9347.16
"578",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9348.03,9349.01
"579",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9352.36,9355.32
"580",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9356.87,9358.47
"581",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",9363.76,9364.48
"582",1,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9367.14,9368.18
"583",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9371.77,9372.61
"584",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9375.24,9376.53
"585",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9377.33,9378
"586",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",9382.69,9383.29
"587",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",9390.55,9391.64
"588",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9395.07,9395.82
