"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"174","0274_000221_scrubbed.wav",1910.68,1912.38,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"175","0274_000221_scrubbed.wav",1912.38,1913.14,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"176","0274_000221_scrubbed.wav",1915.05,1915.72,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"177","0274_000221_scrubbed.wav",1924.64,1925.64,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"178","0274_000221_scrubbed.wav",1925.64,1926.26,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"179","0274_000221_scrubbed.wav",1926.26,1933.56,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"180","0274_000221_scrubbed.wav",1934.16,1936,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"181","0274_000221_scrubbed.wav",1936.99,1938.97,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"182","0274_000221_scrubbed.wav",1938.97,1939.68,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"183","0274_000221_scrubbed.wav",1939.68,1941.7,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"184","0274_000221_scrubbed.wav",1941.7,1942.3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"185","0274_000221_scrubbed.wav",1942.3,1951.56,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"186","0274_000221_scrubbed.wav",1951.56,1952.44,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"187","0274_000221_scrubbed.wav",1952.44,1964.45,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"188","0274_000221_scrubbed.wav",1966.17,1967.17,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"189","0274_000221_scrubbed.wav",1967.17,1968.6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"190","0274_000221_scrubbed.wav",1975.15,1976.5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"191","0274_000221_scrubbed.wav",1985.65,1996.5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"192","0274_000221_scrubbed.wav",2002.55,2014.98,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"193","0274_000221_scrubbed.wav",2016.07,2027.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
