"","jvfs_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"650",5,5,5,5,FALSE
"651",2,3,2,2,FALSE
"652",2,2,2,2,FALSE
"653",2,3,3,3,FALSE
"654",2,2,2,2,FALSE
"655",2,2,2,2,FALSE
"656",2,2,1,2,FALSE
"657",2,2,1,2,FALSE
"658",3,3,3,3,FALSE
"659",2,2,1,2,FALSE
"660",4,3,3,3,FALSE
"661",3,3,2,3,FALSE
"662",2,2,2,2,FALSE
"663",5,5,5,5,FALSE
"664",2,2,1,2,FALSE
"665",2,2,1,2,FALSE
"666",2,2,1,2,FALSE
"667",2,2,1,2,FALSE
"668",3,2,1,1,TRUE
"669",2,2,2,2,FALSE
"670",2,2,1,2,FALSE
"671",2,2,1,2,FALSE
"672",2,2,1,2,FALSE
"673",1,1,1,1,TRUE
"674",1,1,1,1,TRUE
"675",2,2,1,2,FALSE
"676",2,2,1,2,FALSE
"677",2,2,2,2,FALSE
"678",2,2,1,2,FALSE
"679",2,2,2,2,FALSE
"680",2,2,1,2,FALSE
"681",1,2,1,1,TRUE
"682",1,2,1,1,TRUE
"683",2,2,1,2,FALSE
"684",2,2,1,2,FALSE
"685",1,2,1,1,TRUE
"686",2,2,1,2,FALSE
"687",2,2,1,2,FALSE
"688",2,3,2,2,FALSE
"689",2,2,1,2,FALSE
"690",1,2,1,1,TRUE
"691",2,3,2,2,FALSE
"692",2,3,1,1,TRUE
"693",2,3,2,2,FALSE
"694",3,3,3,3,FALSE
"695",1,2,1,1,TRUE
"696",2,2,1,2,FALSE
"697",1,2,1,1,TRUE
"698",2,2,1,2,FALSE
"699",2,2,2,2,FALSE
"700",1,2,1,1,TRUE
"701",1,1,1,1,TRUE
"702",2,2,1,2,FALSE
"703",1,2,2,2,FALSE
"704",1,2,1,1,TRUE
"705",2,2,2,2,FALSE
"706",1,2,1,1,TRUE
"707",1,2,1,1,TRUE
"708",2,3,2,2,FALSE
"709",2,2,2,2,FALSE
"710",2,2,2,2,FALSE
"711",3,3,2,3,FALSE
"712",2,2,2,2,FALSE
"713",2,2,2,2,FALSE
"714",1,1,1,1,TRUE
"715",2,2,2,2,FALSE
"716",2,2,2,2,FALSE
"717",2,2,2,2,FALSE
"718",2,2,2,2,FALSE
"719",1,2,1,1,TRUE
"720",3,3,3,3,FALSE
"721",5,5,5,5,FALSE
"722",2,2,2,2,FALSE
"723",2,2,1,2,FALSE
"724",2,2,1,2,FALSE
"725",2,3,2,2,FALSE
"726",3,2,1,1,TRUE
"727",2,2,1,2,FALSE
"728",2,2,2,2,FALSE
"729",2,2,2,2,FALSE
"730",3,2,2,2,FALSE
"731",3,4,3,3,FALSE
"732",5,5,5,5,FALSE
"733",2,2,2,2,FALSE
"734",2,2,2,2,FALSE
"735",2,2,2,2,FALSE
"736",5,5,5,5,FALSE
"737",2,3,2,2,FALSE
"738",4,4,3,4,FALSE
"739",1,2,1,1,TRUE
"740",4,5,5,5,FALSE
"741",5,5,5,5,FALSE
"742",5,5,5,5,FALSE
"743",4,2,1,1,TRUE
"744",2,3,2,2,FALSE
"745",2,2,1,2,FALSE
"746",2,2,2,2,FALSE
"747",5,5,5,5,FALSE
"748",2,2,2,2,FALSE
"749",3,3,2,3,FALSE
"750",2,3,2,2,FALSE
"751",2,3,2,2,FALSE
"752",2,2,2,2,FALSE
"753",2,2,2,2,FALSE
"754",2,2,2,2,FALSE
"755",1,2,1,1,TRUE
"756",1,2,1,1,TRUE
"757",2,3,2,2,FALSE
"758",2,2,1,2,FALSE
"759",2,2,2,2,FALSE
"760",2,2,1,2,FALSE
"761",2,2,1,2,FALSE
"762",3,2,2,2,FALSE
"763",1,2,1,1,TRUE
"764",2,2,1,2,FALSE
"765",4,3,2,2,FALSE
"766",2,2,1,2,FALSE
"767",3,3,2,3,FALSE
"768",2,3,2,2,FALSE
"769",2,3,2,2,FALSE
"770",2,3,2,2,FALSE
"771",1,2,2,2,FALSE
"772",1,2,2,2,FALSE
"773",1,2,1,1,TRUE
"774",2,2,1,2,FALSE
"775",2,2,2,2,FALSE
"776",2,3,2,2,FALSE
"777",2,2,2,2,FALSE
"778",1,2,1,1,TRUE
"779",2,2,1,2,FALSE
"780",5,5,5,5,FALSE
"781",2,3,1,1,TRUE
"782",4,3,2,2,FALSE
"783",2,2,2,2,FALSE
"784",2,2,2,2,FALSE
"785",2,2,2,2,FALSE
"786",2,2,1,2,FALSE
"787",1,2,2,2,FALSE
"788",2,2,1,2,FALSE
"789",1,2,1,1,TRUE
"790",2,2,1,2,FALSE
"791",2,3,2,2,FALSE
"792",1,2,1,1,TRUE
"793",2,3,2,2,FALSE
"794",2,2,1,2,FALSE
"795",2,2,2,2,FALSE
"796",2,2,1,2,FALSE
"797",1,2,1,1,TRUE
"798",3,3,2,3,FALSE
"799",2,2,2,2,FALSE
"800",2,3,2,2,FALSE
"801",4,4,3,4,FALSE
"802",5,5,5,5,FALSE
"803",4,3,4,4,FALSE
"804",4,3,3,3,FALSE
"805",5,5,5,5,FALSE
"806",3,3,2,3,FALSE
"807",4,3,3,3,FALSE
"808",3,2,2,2,FALSE
"809",3,2,2,2,FALSE
"810",5,5,5,5,FALSE
