"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"104","0340_000301_scrubbed.wav",1922.78,1924.06,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,2,FALSE
"105","0340_000301_scrubbed.wav",1928.84,1929.73,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,FALSE
"106","0340_000301_scrubbed.wav",1955.66,1956.35,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"107","0340_000301_scrubbed.wav",1957.15,1957.75,2,2,2,4,3,2,2,2,3,2,2,2,3,2,3,2,2,FALSE
"108","0340_000301_scrubbed.wav",1964.88,1965.48,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"109","0340_000301_scrubbed.wav",1979.91,1980.54,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,FALSE
"110","0340_000301_scrubbed.wav",1982.01,1983.07,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"111","0340_000301_scrubbed.wav",1988.11,1990.13,1,2,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,FALSE
"112","0340_000301_scrubbed.wav",1992.73,1993.82,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"113","0340_000301_scrubbed.wav",1997.08,1998.93,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,FALSE
"114","0340_000301_scrubbed.wav",2024.77,2026.21,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"115","0340_000301_scrubbed.wav",2030.2,2030.8,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
