"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"164","0204_000609_scrubbed.wav",2413.89,2414.66,1,2,2,4,4,4,4,3,2,2,3,5,2,3,3,1,3,2,FALSE
"165","0204_000609_scrubbed.wav",2416.49,2417.18,1,2,1,3,1,1,2,2,2,1,2,2,2,1,2,1,1,1,TRUE
"166","0204_000609_scrubbed.wav",2417.18,2418.57,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,TRUE
"167","0204_000609_scrubbed.wav",2419.37,2419.97,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,TRUE
"168","0204_000609_scrubbed.wav",2443.89,2444.51,1,2,5,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,FALSE
"169","0204_000609_scrubbed.wav",2458.99,2459.88,1,4,5,5,5,5,3,5,4,5,5,5,4,5,4,4,5,5,FALSE
"170","0204_000609_scrubbed.wav",2473.96,2474.61,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,5,FALSE
"171","0204_000609_scrubbed.wav",2474.61,2475.91,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,FALSE
"172","0204_000609_scrubbed.wav",2475.91,2476.52,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"173","0204_000609_scrubbed.wav",2530.06,2530.66,5,3,1,2,1,1,2,1,2,1,3,2,2,1,1,1,1,1,TRUE
"174","0204_000609_scrubbed.wav",2530.66,2531.67,5,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,TRUE
"175","0204_000609_scrubbed.wav",2531.67,2532.78,1,2,1,2,1,1,2,1,1,1,2,3,2,1,1,2,1,1,TRUE
"176","0204_000609_scrubbed.wav",2561.75,2562.48,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,TRUE
"177","0204_000609_scrubbed.wav",2565.63,2566.91,1,2,2,2,1,1,2,2,2,1,3,2,2,1,1,1,1,1,TRUE
"178","0204_000609_scrubbed.wav",2579.18,2580.05,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,FALSE
"179","0204_000609_scrubbed.wav",2581.56,2583.14,1,2,2,4,2,1,3,2,2,4,3,4,2,2,2,2,2,2,FALSE
"180","0204_000609_scrubbed.wav",2583.14,2584.11,1,2,2,1,1,1,2,1,2,1,3,2,2,1,1,1,1,1,TRUE
"181","0204_000609_scrubbed.wav",2587.9,2588.52,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,FALSE
"182","0204_000609_scrubbed.wav",2595.22,2595.85,2,2,2,2,2,2,3,2,2,1,2,3,2,2,2,1,2,2,FALSE
"183","0204_000609_scrubbed.wav",2605.73,2606.47,1,2,2,2,3,2,2,1,2,1,2,2,2,2,2,1,2,2,FALSE
"184","0204_000609_scrubbed.wav",2607.27,2607.87,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"185","0204_000609_scrubbed.wav",2841.43,2842.78,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,FALSE
