"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_1_targetChildProminence","ukqu_1_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"100","0054_000603_scrubbed.wav",1947.91,1948.54,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,FALSE
"101","0054_000603_scrubbed.wav",1956.15,1956.75,1,3,2,2,2,1,3,2,4,1,4,2,2,1,2,2,1,1,2,2,FALSE
"102","0054_000603_scrubbed.wav",1957.75,1958.35,1,4,2,4,5,2,4,2,4,1,4,4,2,1,3,3,1,1,2,1,TRUE
"103","0054_000603_scrubbed.wav",1970.74,1971.58,1,2,2,3,2,2,3,2,2,1,3,2,2,2,2,2,1,2,2,2,FALSE
"104","0054_000603_scrubbed.wav",1981.2,1981.9,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,FALSE
"105","0054_000603_scrubbed.wav",1983.07,1983.67,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,FALSE
"106","0054_000603_scrubbed.wav",1992.25,1992.85,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1,2,2,2,FALSE
"107","0054_000603_scrubbed.wav",1996.13,1996.73,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,FALSE
"108","0054_000603_scrubbed.wav",1999.05,2002.03,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,FALSE
"109","0054_000603_scrubbed.wav",2005.83,2010.59,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,FALSE
"110","0054_000603_scrubbed.wav",2013.41,2014.16,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,FALSE
