"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"534",2,2,2,2,2,FALSE
"535",3,2,2,2,2,FALSE
"536",3,2,3,2,2,FALSE
"537",3,2,2,2,2,FALSE
"538",3,2,2,2,2,FALSE
"539",2,2,2,2,2,FALSE
"540",2,1,2,1,1,TRUE
"541",2,1,2,1,1,TRUE
"542",2,1,2,2,2,FALSE
"543",5,5,5,5,5,FALSE
"544",2,1,2,2,2,FALSE
"545",3,1,2,2,2,FALSE
"546",2,1,2,2,2,FALSE
"547",2,1,2,2,2,FALSE
"548",2,1,2,2,2,FALSE
"549",2,1,2,1,1,TRUE
"550",2,1,2,2,2,FALSE
"551",2,2,2,2,2,FALSE
"552",5,5,5,5,5,FALSE
"553",2,1,2,1,1,TRUE
"554",2,1,2,1,1,TRUE
"555",3,2,3,2,2,FALSE
"556",3,1,2,2,2,FALSE
"557",3,2,3,2,2,FALSE
"558",2,2,2,2,2,FALSE
"559",2,1,2,2,2,FALSE
"560",3,1,2,2,2,FALSE
"561",2,1,2,1,1,TRUE
"562",5,5,5,5,5,FALSE
"563",5,5,5,5,5,FALSE
"564",2,2,3,2,2,FALSE
"565",2,1,2,2,2,FALSE
"566",2,1,3,2,2,FALSE
"567",5,5,5,5,5,FALSE
"568",2,1,2,1,1,TRUE
"569",2,1,1,1,1,TRUE
"570",1,1,1,1,1,TRUE
"571",1,1,1,1,1,TRUE
"572",1,1,1,1,1,TRUE
"573",4,1,1,1,1,TRUE
"574",2,1,1,1,1,TRUE
"575",1,1,1,1,1,TRUE
"576",2,1,2,1,1,TRUE
"577",1,1,2,1,1,TRUE
"578",2,1,3,1,1,TRUE
"579",4,2,5,1,1,TRUE
"580",1,1,2,1,1,TRUE
"581",2,1,2,1,1,TRUE
"582",1,1,2,1,1,TRUE
"583",2,1,2,1,1,TRUE
"584",1,1,2,1,1,TRUE
"585",1,1,2,1,1,TRUE
"586",1,1,2,1,1,TRUE
"587",1,1,2,1,1,TRUE
"588",3,2,4,1,1,TRUE
"589",1,1,2,1,1,TRUE
"590",2,1,3,1,1,TRUE
"591",2,1,2,1,1,TRUE
"592",2,1,2,1,1,TRUE
"593",2,1,2,1,1,TRUE
"594",1,1,2,1,1,TRUE
"595",2,1,2,1,1,TRUE
"596",1,1,2,1,1,TRUE
"597",2,2,3,1,2,FALSE
"598",1,1,1,1,1,TRUE
"599",2,2,2,2,2,FALSE
"600",2,2,2,2,2,FALSE
"601",2,2,2,2,2,FALSE
"602",3,2,2,2,2,FALSE
"603",2,2,2,2,2,FALSE
"604",1,1,2,1,1,TRUE
"605",2,2,3,2,2,FALSE
"606",2,1,3,2,2,FALSE
"607",2,2,2,2,2,FALSE
"608",2,2,2,2,2,FALSE
"609",2,3,2,2,2,FALSE
"610",1,1,2,1,1,TRUE
"611",2,2,2,2,2,FALSE
"612",5,4,5,4,4,FALSE
"613",2,2,2,2,2,FALSE
"614",2,2,2,2,2,FALSE
"615",2,1,2,2,2,FALSE
"616",2,2,2,2,2,FALSE
"617",3,3,2,2,2,FALSE
"618",3,2,3,2,2,FALSE
"619",3,2,3,2,2,FALSE
"620",2,2,2,2,2,FALSE
"621",2,1,2,2,2,FALSE
"622",2,2,2,2,2,FALSE
"623",3,3,3,2,3,FALSE
"624",2,2,2,2,2,FALSE
"625",1,1,2,1,1,TRUE
"626",1,1,2,1,1,TRUE
"627",1,1,2,1,1,TRUE
"628",1,1,1,1,1,TRUE
"629",5,1,2,1,1,TRUE
"630",1,1,2,1,1,TRUE
"631",2,1,2,1,1,TRUE
"632",3,1,3,1,1,TRUE
"633",2,1,3,1,1,TRUE
"634",4,1,4,1,1,TRUE
"635",2,1,2,1,1,TRUE
"636",1,1,1,1,1,TRUE
"637",2,2,2,2,2,FALSE
"638",1,1,1,1,1,TRUE
"639",1,1,1,1,1,TRUE
"640",1,1,1,1,1,TRUE
"641",2,2,2,2,2,FALSE
"642",1,1,2,1,1,TRUE
"643",1,1,2,1,1,TRUE
"644",2,2,2,2,2,FALSE
"645",1,1,2,2,1,TRUE
"646",1,1,2,1,1,TRUE
"647",1,1,2,1,1,TRUE
"648",1,1,2,1,1,TRUE
"649",1,1,2,1,1,TRUE
"650",1,1,2,1,1,TRUE
"651",1,1,2,1,1,TRUE
"652",1,1,2,1,1,TRUE
"653",1,2,2,1,1,TRUE
"654",1,1,2,1,1,TRUE
"655",1,1,1,1,1,TRUE
"656",2,2,2,2,2,FALSE
"657",3,3,3,2,3,FALSE
"658",1,2,2,2,2,FALSE
"659",1,1,2,1,1,TRUE
"660",3,3,3,2,3,FALSE
"661",1,1,2,1,1,TRUE
"662",1,2,2,1,1,TRUE
"663",1,1,2,1,1,TRUE
"664",1,1,2,1,1,TRUE
"665",2,3,3,2,2,FALSE
"666",2,2,2,1,2,FALSE
"667",2,3,2,2,2,FALSE
"668",2,2,2,2,2,FALSE
"669",2,3,3,2,2,FALSE
"670",2,3,3,2,2,FALSE
"671",1,1,2,1,1,TRUE
"672",3,3,3,2,3,FALSE
"673",2,2,2,2,2,FALSE
"674",2,2,2,2,2,FALSE
"675",2,2,2,2,2,FALSE
"676",2,2,3,2,2,FALSE
"677",2,2,2,2,2,FALSE
"678",2,2,2,2,2,FALSE
"679",1,1,2,1,1,TRUE
"680",1,1,2,1,1,TRUE
"681",2,2,2,2,2,FALSE
"682",2,2,2,2,2,FALSE
"683",2,2,2,2,2,FALSE
"684",2,2,2,2,2,FALSE
"685",2,2,2,2,2,FALSE
"686",1,1,2,1,1,TRUE
"687",2,2,2,2,2,FALSE
"688",1,1,2,1,1,TRUE
"689",1,1,2,1,1,TRUE
"690",2,2,2,1,2,FALSE
"691",2,1,2,2,2,FALSE
"692",2,2,2,2,2,FALSE
"693",2,2,2,2,2,FALSE
"694",2,2,2,1,2,FALSE
"695",2,2,2,1,2,FALSE
"696",2,3,2,2,2,FALSE
"697",2,2,2,2,2,FALSE
"698",2,3,3,2,2,FALSE
"699",2,1,2,1,1,TRUE
"700",2,1,2,2,2,FALSE
"701",1,2,2,1,1,TRUE
"702",2,3,2,1,2,FALSE
"703",1,1,2,1,1,TRUE
"704",1,1,2,1,1,TRUE
"705",1,1,1,1,1,TRUE
"706",1,1,2,1,1,TRUE
"707",2,1,2,1,1,TRUE
"708",2,1,2,1,1,TRUE
"709",1,2,2,1,1,TRUE
"710",2,2,2,1,2,FALSE
"711",1,1,2,1,1,TRUE
"712",2,2,2,1,2,FALSE
"713",5,4,4,4,4,FALSE
"714",5,5,5,5,5,FALSE
"715",4,4,3,2,4,FALSE
"716",4,3,3,2,3,FALSE
"717",5,5,5,5,5,FALSE
"718",5,5,5,5,5,FALSE
"719",5,5,5,5,5,FALSE
"720",5,5,5,5,5,FALSE
"721",4,5,3,5,5,FALSE
"722",4,5,4,5,4,FALSE
"723",4,4,3,3,3,FALSE
"724",2,5,1,5,5,FALSE
"725",1,1,1,5,1,TRUE
"726",1,1,1,5,1,TRUE
"727",5,3,2,5,5,FALSE
"728",3,3,3,5,3,FALSE
"729",1,1,2,1,1,TRUE
"730",3,3,3,2,3,FALSE
"731",2,1,2,5,2,FALSE
"732",2,1,2,5,2,FALSE
"733",5,5,5,5,5,FALSE
"734",2,5,5,5,5,FALSE
"735",2,3,2,5,2,FALSE
"736",2,2,3,2,2,FALSE
"737",5,5,5,5,5,FALSE
"738",1,5,5,5,5,FALSE
"739",1,1,2,5,1,TRUE
"740",1,1,2,1,1,TRUE
"741",1,1,2,1,1,TRUE
"742",2,2,2,1,2,FALSE
"743",5,5,5,5,5,FALSE
"744",2,2,2,1,2,FALSE
"745",2,2,2,2,2,FALSE
"746",5,5,4,5,5,FALSE
"747",1,1,2,1,1,TRUE
"748",1,1,2,1,1,TRUE
"749",5,2,2,1,2,FALSE
"750",5,5,5,5,5,FALSE
"751",5,4,4,3,4,FALSE
"752",5,5,5,5,5,FALSE
"753",2,1,2,1,1,TRUE
"754",5,5,5,5,5,FALSE
"755",2,1,2,1,1,TRUE
"756",2,2,2,2,2,FALSE
"757",2,2,2,2,2,FALSE
"758",5,3,3,2,3,FALSE
