"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1340","0196_000902_scrubbed.wav",35094.09,35095.04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1341","0196_000902_scrubbed.wav",35417.89,35418.57,5,4,3,5,5,5,5,5,5,5,2,5,5,5,5,5,5,FALSE
"1342","0196_000902_scrubbed.wav",35462.05,35462.67,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1343","0196_000902_scrubbed.wav",35482.99,35483.6,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,FALSE
"1344","0196_000902_scrubbed.wav",35487.8,35488.4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,FALSE
"1345","0196_000902_scrubbed.wav",35493.4,35495.27,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,FALSE
"1346","0196_000902_scrubbed.wav",35522.48,35524.07,5,4,4,5,5,5,5,5,5,5,4,5,4,5,4,4,3,FALSE
"1347","0196_000902_scrubbed.wav",35528.08,35529.4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1348","0196_000902_scrubbed.wav",35530.21,35530.88,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1349","0196_000902_scrubbed.wav",35531.7,35532.74,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,FALSE
"1350","0196_000902_scrubbed.wav",35534.58,35536.36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1351","0196_000902_scrubbed.wav",35537.99,35538.62,1,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,3,FALSE
"1352","0196_000902_scrubbed.wav",35543.15,35543.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1353","0196_000902_scrubbed.wav",35546.62,35547.22,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1354","0196_000902_scrubbed.wav",35595.83,35596.43,1,2,1,2,2,1,2,2,2,3,2,1,1,2,1,2,2,FALSE
"1355","0196_000902_scrubbed.wav",35596.43,35597.52,1,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,2,FALSE
"1356","0196_000902_scrubbed.wav",35602.01,35602.65,5,2,5,5,5,5,5,5,5,3,2,5,5,2,5,5,4,FALSE
"1357","0196_000902_scrubbed.wav",35615.6,35616.75,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,4,FALSE
"1358","0196_000902_scrubbed.wav",35627.51,35628.11,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,FALSE
"1359","0196_000902_scrubbed.wav",35628.97,35629.97,4,3,4,5,4,3,4,4,5,4,3,4,4,1,1,3,3,FALSE
"1360","0196_000902_scrubbed.wav",35634.3,35634.96,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,FALSE
"1361","0196_000902_scrubbed.wav",35640.74,35641.34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1362","0196_000902_scrubbed.wav",35648.21,35649.04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1363","0196_000902_scrubbed.wav",35653.61,35654.7,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1364","0196_000902_scrubbed.wav",35659.35,35660.15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1365","0196_000902_scrubbed.wav",35660.15,35661.2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1366","0196_000902_scrubbed.wav",35667.07,35668.23,5,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,FALSE
"1367","0196_000902_scrubbed.wav",35669.22,35670.84,5,4,5,5,5,4,4,4,5,2,5,5,4,5,4,5,4,FALSE
"1368","0196_000902_scrubbed.wav",35674.74,35675.34,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,FALSE
"1369","0196_000902_scrubbed.wav",35678.61,35679.45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1370","0196_000902_scrubbed.wav",35719.92,35721.71,3,3,3,4,2,3,3,2,3,3,2,3,4,2,3,3,3,FALSE
"1371","0196_000902_scrubbed.wav",35723.51,35724.2,3,3,3,4,3,3,3,2,3,3,2,3,3,2,2,3,3,FALSE
"1372","0196_000902_scrubbed.wav",35725.38,35727.59,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,FALSE
"1373","0196_000902_scrubbed.wav",35729.78,35730.38,5,3,5,5,5,5,5,5,5,2,3,5,5,5,5,5,4,FALSE
"1374","0196_000902_scrubbed.wav",35731.18,35732.54,5,3,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,FALSE
"1375","0196_000902_scrubbed.wav",35739.27,35739.87,4,3,3,4,3,3,4,2,3,4,2,3,3,5,2,4,3,FALSE
"1376","0196_000902_scrubbed.wav",35740.87,35741.47,4,3,4,4,3,3,4,2,5,2,2,2,3,5,2,4,2,FALSE
"1377","0196_000902_scrubbed.wav",35761.99,35762.59,2,3,3,4,2,2,3,2,4,2,2,2,2,5,2,3,2,FALSE
"1378","0196_000902_scrubbed.wav",35764.83,35765.43,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,FALSE
"1379","0196_000902_scrubbed.wav",35766.47,35767.07,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,FALSE
"1380","0196_000902_scrubbed.wav",35818.61,35819.92,5,4,4,5,5,4,4,5,1,2,5,1,5,5,1,5,4,FALSE
"1381","0196_000902_scrubbed.wav",35820.8,35821.4,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,1,TRUE
"1382","0196_000902_scrubbed.wav",35833.9,35834.88,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,TRUE
"1383","0196_000902_scrubbed.wav",35835.9,35837.16,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,FALSE
"1384","0196_000902_scrubbed.wav",35837.16,35838.35,4,3,4,4,3,3,3,3,3,2,2,3,3,2,4,2,3,FALSE
"1385","0196_000902_scrubbed.wav",35841.6,35842.59,4,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,4,FALSE
"1386","0196_000902_scrubbed.wav",35843.63,35844.24,5,2,5,5,5,5,5,5,5,2,3,5,5,5,5,5,4,FALSE
"1387","0196_000902_scrubbed.wav",35844.24,35845.58,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,FALSE
"1388","0196_000902_scrubbed.wav",35846.88,35848.66,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1389","0196_000902_scrubbed.wav",35850.93,35852.26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1390","0196_000902_scrubbed.wav",35854.86,35855.69,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1391","0196_000902_scrubbed.wav",35859.63,35861.61,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1392","0196_000902_scrubbed.wav",35861.61,35862.61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
