"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_2_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","lyur_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"197","0344_000913.wav",13376.95,13377.55,2,5,5,5,5,5,5,2,3,3,5,5,5,5,5,5,4,FALSE
"198","0344_000913.wav",13612.1,13614,2,3,3,1,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"199","0344_000913.wav",13617.57,13618.2,2,3,3,1,2,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"200","0344_000913.wav",13625.18,13625.82,2,4,3,2,2,2,2,2,3,2,2,2,3,1,2,2,3,FALSE
"201","0344_000913.wav",13632.02,13632.62,2,5,5,4,3,2,3,1,3,4,2,2,3,1,4,4,3,FALSE
"202","0344_000913.wav",13633.42,13635.08,2,2,2,3,2,2,1,1,3,2,2,2,2,1,2,2,3,FALSE
"203","0344_000913.wav",13655.21,13657.26,2,2,2,2,2,2,2,1,3,2,2,2,3,1,2,2,3,FALSE
"204","0344_000913.wav",13739.25,13740.14,2,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,3,FALSE
"205","0344_000913.wav",13755.54,13756.14,2,5,2,2,2,2,1,1,3,2,2,1,2,1,2,2,3,FALSE
"206","0344_000913.wav",13766.65,13767.25,4,3,3,3,3,2,3,1,3,3,2,2,3,1,4,3,4,FALSE
"207","0344_000913.wav",13771.07,13772.38,2,1,2,1,2,2,1,1,3,2,2,1,1,1,2,2,3,FALSE
"208","0344_000913.wav",13773.18,13773.93,2,2,2,1,2,2,1,1,3,2,2,1,2,1,2,2,3,FALSE
