"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"181","0833_010606.wav",2647.26,2647.97,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,FALSE
"182","0833_010606.wav",2659.85,2661.26,2,2,3,3,3,3,3,2,3,2,2,2,2,3,1,2,2,FALSE
"183","0833_010606.wav",2663.09,2663.73,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,TRUE
"184","0833_010606.wav",2678.09,2678.69,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"185","0833_010606.wav",2679.61,2680.23,1,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"186","0833_010606.wav",2682.01,2682.65,2,2,2,2,3,2,2,2,1,2,2,2,2,3,1,2,2,FALSE
"187","0833_010606.wav",2693.27,2693.87,2,2,3,3,2,3,3,2,2,2,2,2,2,2,1,2,2,FALSE
"188","0833_010606.wav",2704.63,2706.14,2,2,3,2,2,3,2,2,1,2,2,2,2,2,1,2,2,FALSE
"189","0833_010606.wav",2709,2709.6,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,FALSE
"190","0833_010606.wav",2712,2712.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"191","0833_010606.wav",2713.56,2714.17,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,3,2,FALSE
"192","0833_010606.wav",2726.81,2727.55,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,FALSE
"193","0833_010606.wav",2753.44,2754.1,1,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"194","0833_010606.wav",2789.76,2790.36,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"195","0833_010606.wav",2791.76,2792.86,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,TRUE
"196","0833_010606.wav",2797,2799.08,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"197","0833_010606.wav",2806.88,2808.09,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"198","0833_010606.wav",2815.44,2816.53,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"199","0833_010606.wav",2819.73,2821.48,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"200","0833_010606.wav",2825.79,2827.31,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"201","0833_010606.wav",2832.53,2833.86,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,FALSE
"202","0833_010606.wav",2835.51,2837.22,1,2,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,TRUE
"203","0833_010606.wav",2849.64,2853.4,2,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,FALSE
"204","0833_010606.wav",2859.79,2863.58,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,FALSE
"205","0833_010606.wav",2866.21,2869.02,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"206","0833_010606.wav",2874.21,2876.9,1,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"207","0833_010606.wav",2880.7,2881.8,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,FALSE
